City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,olyokminsk,60.3736,120.4264,12.8,85,100,1.41,RU,1724698675
82,coquimbo,-29.9533,-71.3436,15.85,72,0,6.69,CL,1724698396
83,nema,57.5067,50.5011,15.34,74,26,0.89,RU,1724698678
84,tarija,-21.5355,-64.7296,23.95,38,0,0.0,BO,1724698652
85,skelleftea,64.7507,20.9528,16.2,94,100,6.17,SE,1724698680
86,pacific grove,36.6177,-121.9166,23.01,73,0,4.47,US,1724698681
87,revda,56.801,59.9303,10.6,92,0,0.94,RU,1724698375
88,la union,-5.4,-80.75,28.46,44,10,6.43,PE,1724698683
89,celestun,20.8667,-90.4,31.01,62,35,5.17,MX,1724698684
90,geraldton,-28.7667,114.6,18.23,72,100,4.63,AU,1724698686
91,utrik,11.2278,169.8474,28.77,71,86,8.58,MH,1724698285
92,afaahiti,-17.75,-149.2833,21.77,66,100,10.08,PF,1724698130
93,kiri buru,22.0833,85.35,23.54,96,100,2.55,IN,1724698690
94,kingston,17.997,-76.7936,33.53,62,20,8.75,JM,1724698636
95,zhangye,38.9342,100.4517,22.57,36,0,3.05,CN,1724698692
96,katsuren-haebaru,26.3369,127.8719,30.22,81,75,6.69,JP,1724698693
97,nuku'alofa,-21.1333,-175.2,21.19,94,20,3.6,TO,1724698695
98,iqaluit,63.7506,-68.5145,9.85,87,75,1.54,CA,1724698696
99,kralendijk,12.15,-68.2667,33.99,55,20,8.23,BQ,1724698697
100,strezhevoy,60.7333,77.5889,13.14,73,100,3.27,RU,1724698698
101,scottburgh,-30.2867,30.7532,20.16,57,86,1.71,ZA,1724698699
102,juan aldama,24.2908,-103.3944,26.7,34,6,3.1,MX,1724698701
103,puerto el triunfo,13.2833,-88.55,28.42,80,100,3.54,SV,1724698351
104,nabire,-3.3667,135.4833,24.2,93,79,1.06,ID,1724698704
105,susuman,62.7833,148.1667,11.98,93,100,1.62,RU,1724698329
106,broome,42.2506,-75.833,29.15,50,75,0.45,US,1724698442
107,muisne,0.6,-80.0333,25.29,77,73,4.47,EC,1724698396
108,bonthe,7.5264,-12.505,25.57,85,91,4.21,SL,1724698708
109,hawaiian paradise park,19.5933,-154.9731,22.71,98,100,4.63,US,1724698710
110,santa elena de uairen,4.6167,-61.1333,25.44,66,72,2.54,VE,1724698711
111,kijang,35.2442,129.2139,25.85,86,97,1.91,KR,1724698712
112,greymouth,-42.4667,171.2,11.01,98,100,2.83,NZ,1724698713
113,la sierpe,21.7717,-79.2684,33.85,48,100,1.78,CU,1724698715
114,tibati,6.4667,12.6333,19.64,99,81,1.71,CM,1724698716
115,trujillo,-8.116,-79.03,17.98,82,75,5.66,PE,1724698717
116,lihue,21.9789,-159.3672,25.77,75,100,9.77,US,1724698183
117,east london,-33.0153,27.9116,16.52,72,0,3.09,ZA,1724698720
118,crane,31.3974,-102.3501,32.66,33,87,5.56,US,1724698189
119,lazaro cardenas,17.9583,-102.2,30.82,66,10,3.34,MX,1724698255
